#==============================================================================
# DATASET #0
#==============================================================================
0 0.999564
1.5e-08 0.999562
3e-08 0.999555
4.5e-08 0.999545
6e-08 0.99953
7.5e-08 0.99951
9e-08 0.999485
1.05e-07 0.999454
1.2e-07 0.999417
1.35e-07 0.999372
1.5e-07 0.99932
1.65e-07 0.999258
1.8e-07 0.999186
1.95e-07 0.999102
2.1e-07 0.999004
2.25e-07 0.99889
2.4e-07 0.998757
2.55e-07 0.998603
2.7e-07 0.998423
2.85e-07 0.998215
3e-07 0.997972
3.15e-07 0.997689
3.3e-07 0.99736
3.45e-07 0.996975
3.6e-07 0.996527
3.75e-07 0.996002
3.9e-07 0.995388
4.05e-07 0.994668
4.2e-07 0.993823
4.35e-07 0.992829
4.5e-07 0.99166
4.65e-07 0.99028
4.8e-07 0.997537
4.95e-07 0.998558
5.1e-07 0.99782
5.25e-07 -0.284777
5.4e-07 0.999236
5.55e-07 0.999937
5.7e-07 0.99754
5.85e-07 0.992882
6e-07 0.99991
6.15e-07 1
6.3e-07 0.994434
6.45e-07 0.997625
6.6e-07 1.19821e+11
6.75e-07 -5.55272e+14
6.9e-07 0.991508
7.05e-07 0.997177
7.2e-07 -3.79671e+07
7.35e-07 0.996467
7.5e-07 0.999333
7.65e-07 0.992612
7.8e-07 0.998316
7.95e-07 0.996203
8.1e-07 0.999442
8.25e-07 0.990685
8.4e-07 0.992637
8.55e-07 -8.80308e+27
8.7e-07 479.768
8.85e-07 0.968671
9e-07 "?"
9.15e-07 0.995345
9.3e-07 0.998214
9.45e-07 0.993734
9.6e-07 0.998996
9.75e-07 0.996428
9.9e-07 0.997282
1.005e-06 0.999228
1.02e-06 0.999202
1.035e-06 0.9999
1.05e-06 0.999979
1.065e-06 0.999437
1.08e-06 0.999326
1.095e-06 0.999814
1.11e-06 0.999969
1.125e-06 -1.43193e+28
1.14e-06 0.997586
1.155e-06 0.992165
1.17e-06 0.992258
1.185e-06 0.995276
1.2e-06 2.9936e+26
1.215e-06 -50245.6
1.23e-06 -8.12546e+75
1.245e-06 0.994095
1.26e-06 0.998686
1.275e-06 0.993096
1.29e-06 -6.02716e+36
1.305e-06 0.999806
1.32e-06 0.997032
1.335e-06 0.994785
1.35e-06 0.999585
1.365e-06 0.997892
1.38e-06 0.995925
1.395e-06 0.991742
1.41e-06 0.999949
1.425e-06 0.998772
1.44e-06 0.996609
1.455e-06 0.994138
1.47e-06 0.999572
1.485e-06 0.999638
1.5e-06 0.998212
1.515e-06 0.990624
1.53e-06 0.997635
1.545e-06 0.998753
1.56e-06 0.999875
1.575e-06 1.13147
1.59e-06 0.994102
1.605e-06 -6.31414e+40
1.62e-06 0.999713
1.635e-06 6.01941e+72
1.65e-06 0.993573
1.665e-06 0.997623
1.68e-06 0.998834
1.695e-06 5.48328e+56
1.71e-06 -4.58543e+06
1.725e-06 -3.78679e+18
1.74e-06 1.62432e+10
1.755e-06 1.00768
1.77e-06 0.999757
1.785e-06 0.999032
1.8e-06 -2.74435e+28
1.815e-06 0.991407
1.83e-06 0.999973
1.845e-06 0.997231
1.86e-06 0.995964
1.875e-06 0.99994
1.89e-06 0.999998
1.905e-06 0.993613
1.92e-06 0.996588
1.935e-06 0.999605
1.95e-06 0.999559
1.965e-06 0.993556
1.98e-06 4.66056e+83
1.995e-06 0.992224
2.01e-06 0.998671
2.025e-06 0.999932
2.04e-06 0.999555
2.055e-06 0.996133
2.07e-06 0.995552
2.085e-06 0.998494
2.1e-06 0.99185
2.115e-06 0.995967
2.13e-06 0.999382
2.145e-06 1.00069
2.16e-06 1.00002
2.175e-06 -3.60866e+198
2.19e-06 0.998511
2.205e-06 8.72558e+71
2.22e-06 0.998258
2.235e-06 0.996282
2.25e-06 0.995831
2.265e-06 0.99515
2.28e-06 15.9935
2.295e-06 4.68855e+11
2.31e-06 0.99437
2.325e-06 0.996772
2.34e-06 1.95927e+194
2.355e-06 0.999994
2.37e-06 3.5088
2.385e-06 33.9616
2.4e-06 1.08411e+34
2.415e-06 1.05707
2.43e-06 0.997552
2.445e-06 -1.77211e+88
2.46e-06 0.995851
2.475e-06 2.9636e+211
2.49e-06 0.991627
2.505e-06 -7.02312
2.52e-06 0.993035
2.535e-06 -2.44706e+40
2.55e-06 6.30357e+06
2.565e-06 -1.10341e+39
2.58e-06 0.995425
2.595e-06 1.71975e+23
2.61e-06 0.999953
2.625e-06 7.04793e+99
2.64e-06 -849298
2.655e-06 0.994304
2.67e-06 0.999787
2.685e-06 0.997828
2.7e-06 0.999275
2.715e-06 0.999859
2.73e-06 0.991376
2.745e-06 0.997716
2.76e-06 0.996359
2.775e-06 3.04192e+09
2.79e-06 0.998418
2.805e-06 0.997308
2.82e-06 0.998442
2.835e-06 0.997567
2.85e-06 0.998591
2.865e-06 -5.69653e+133
2.88e-06 1.00015
2.895e-06 0.781435
2.91e-06 0.991657
2.925e-06 0.999743
2.94e-06 -2.95364e+25
2.955e-06 6.08308e+60
2.97e-06 0.999425
2.985e-06 1.78841e+13
3e-06 0.996019
3.015e-06 0.999563
3.03e-06 -2.67128e+09
3.045e-06 0.997727
3.06e-06 3.38855e+08
3.075e-06 0.997747
3.09e-06 192322
3.105e-06 258.828
3.12e-06 0.999044
3.135e-06 0.999414
3.15e-06 0.998389
3.165e-06 1.4725e+119
3.18e-06 -35.0944
3.195e-06 0.99989
3.21e-06 0.999513
3.225e-06 0.996311
3.24e-06 0.993454
3.255e-06 3.25302e+13
3.27e-06 0.998979
3.285e-06 0.484962
3.3e-06 0.991875
3.315e-06 0.999973
3.33e-06 0.992577
3.345e-06 -5.49646e+19
3.36e-06 0.998865
3.375e-06 0.996409
3.39e-06 4.08069e+25
3.405e-06 -1.88686
3.42e-06 -4.78149e+16
3.435e-06 3.86837e+10
3.45e-06 0.993624
3.465e-06 -3.01217
3.48e-06 0.994813
3.495e-06 1.09926
3.51e-06 -3.10422e+42
3.525e-06 0.999179
3.54e-06 0.997307
3.555e-06 0.999476
3.57e-06 -1.08417e+37
3.585e-06 1.07598
3.6e-06 0.974809
3.615e-06 0.999411
3.63e-06 0.999691
3.645e-06 0.999776
3.66e-06 0.966323
3.675e-06 0.996798
3.69e-06 1.5944e+12
3.705e-06 -7.6636e+09
3.72e-06 0.998998
3.735e-06 0.999409
3.75e-06 0.999186
3.765e-06 -2.88491e+06
3.78e-06 1.57313e+15
3.795e-06 0.997731
3.81e-06 -1.40598
3.825e-06 -7.32819e+34
3.84e-06 -34.6909
3.855e-06 0.996216
3.87e-06 0.896818
3.885e-06 0.998942
3.9e-06 6.70964e+06
3.915e-06 -1.36222e+08
3.93e-06 0.99095
3.945e-06 0.999571
3.96e-06 2.13066e+271
3.975e-06 0.996887
3.99e-06 1.10261e+21
4.005e-06 0.999697
4.02e-06 6.29794e+21
4.035e-06 0.999738
4.05e-06 0.99622
4.065e-06 82762.5
4.08e-06 1.51595e+15
4.095e-06 0.996927
4.11e-06 -3.60594e+17
4.125e-06 0.99999
4.14e-06 0.996904
4.155e-06 "?"
4.17e-06 0.998417
4.185e-06 0.997166
4.2e-06 0.998948
4.215e-06 0.997591
4.23e-06 0.998425
4.245e-06 0.999632
4.26e-06 0.998403
4.275e-06 0.999819
4.29e-06 1.02623
4.305e-06 0.996726
4.32e-06 1.76346
4.335e-06 0.994741
4.35e-06 0.999177
4.365e-06 0.999774
4.38e-06 -3.97439e+79
4.395e-06 0.99745
4.41e-06 0.993522
4.425e-06 0.998344
4.44e-06 -2.06316e+31
4.455e-06 0.999914
4.47e-06 0.999956
4.485e-06 0.992027
4.5e-06 0.995873
4.515e-06 0.997799
4.53e-06 0.99876
4.545e-06 0.999221
4.56e-06 0.9994
4.575e-06 0.999369
4.59e-06 0.999038
4.605e-06 0.997957
4.62e-06 0.994427
4.635e-06 0.999976
4.65e-06 1.56081e+172
4.665e-06 0.994723
4.68e-06 0.992314
4.695e-06 0.991596
4.71e-06 0.999601
4.725e-06 -2.96446e+14
4.74e-06 0.998794
4.755e-06 0.999941
4.77e-06 1
4.785e-06 0.999405
4.8e-06 0.998683
4.815e-06 0.998186
4.83e-06 -4.60748e+56
4.845e-06 6.31273e+39
4.86e-06 0.999721
4.875e-06 0.996883
4.89e-06 -4.455e+57
4.905e-06 -6.42318e+18
4.92e-06 0.999838
4.935e-06 -21.3862
4.95e-06 0.999491
4.965e-06 -10.3299
4.98e-06 -1.27443e+08
4.995e-06 0.999861
5.01e-06 0
5.025e-06 0
5.04e-06 0
5.055e-06 0
5.07e-06 0
5.085e-06 0
5.1e-06 0
